fallacy,definition,example,category
Ad Hoc Rescue,Trying to save a cherished belief by repeatedly revising the argument to explain away problems.,"""But apart from better sanitation, medicine, education, irrigation, public health, roads, a freshwater system and public order.. what have the Romans done for us?""",Manipulating Content
Ad Hominem,Bypassing the argument by launching an irrelevant attack on the person and not their claim.,"""Anyone that says we should build the Ground Zero Mosque is an American-hating liberal.""",On the Attack
Affirming the Consequent,Assuming there's only one explanation for an observation you're making.,"""Marriage often results in the birth of children. So that's the reason why it exists.”",Garbled Cause & Effect
Anecdotal Evidence,Discounting evidence arrived at by systematic search or testing in favor of a few firsthand stories.,"""I'm going to carry on smoking. My grandfather smoked 40 a day and he lived until he was 90.""",Faulty Deduction
Appeal to Authority,Claiming something is true because an (unqualified or untrustworthy) 'expert' says it is.,Over 400 prominent scientists and engineers dispute global warming.,Appeal to the Mind
Appeal to Anonymous Authority,Using evidence from an unnamed 'expert' or 'study' or generalized group (like 'scientists') to claim something is true.,"""They say that it takes 7 years to digest chewing gum.""",Appeal to the Mind
Appeal to Common Practice,Claiming something is true because it's commonly practiced.,This bank has some problems with corruption. But there's nothing going on here that doesn't go on in all the other banks.,Appeal to the Mind
Appeal to Consequences of a Belief,Arguing a belief is false because it implies something you'd rather not believe.,"That can’t be the Senator on that sextape. If it were, he’d be lying about not knowing her. And he’s not the kind of man who would lie.",Appeal to Emotions
Appeal to Fear,An argument is made by increasing fear and prejudice towards the opposing side,"""Before you know it there will be more mosques than churches.""",Appeal to Emotions
Appeal to Flattery,Using an irrelevant compliment to slip in an unfounded claim which is accepted along with the compliment,Intelligent and sophisticated readers will of course recognise a fallacy like this when they read one.,Appeal to Emotions
Appeal to Ignorance,A claim is true simply because it has not been proven false (or false because it has not been proven true.),Nobody has proved to me there is a God. So I know there is no God.,Appeal to the Mind
Appeal to Incredulity,"Because a claim sounds unbelievable, it must not be true.",The eye is an incredibly complex biomechanical machine with thousands of interlocking parts. How could that exist without an intelligent designer?,Appeal to the Mind
Appeal to Money,"Supposing that, if someone is rich or something is expensive, then it affects the truth of the claim.","""If it costs more, it must be better""",Appeal to the Mind
Appeal to Nature,"Making your claim seem more true by drawing a comparison with the ""good"" natural world.",Of course homosexuality is unnatural. You don't see same-sex animals copulating.,Appeal to Emotions
Appeal to Novelty,Supposing something is better because it is new or newer.,"""Awesome! The latest version of this operating system is going to make my computer faster and better..""",Appeal to the Mind
Appeal to Pity,Attempt to induce pity to sway opponents.,"The former dictator is an old, dying man. It's wrong to make him stand trial for these alleged offenses.",Appeal to Emotions
Appeal to Popular Belief,Claiming something is true because the majority of people believe it.,"""Milk is good for your bones""",Appeal to the Mind
Appeal to Probability,"Assuming because something could happen, it will inevitably happen.",There are billions of galaxies with billions of stars in the universe. So there must be another planet with intelligent life on it.,Appeal to the Mind
Appeal to Ridicule,Presenting the opponent's argument in a way that makes it appear absurd.,Faith in God is like believing in Santa Claus and the Tooth Fairy.,Appeal to Emotions
Appeal to Spite,Dismissing a claim by appealing to personal bias against the claimant.,Don't you just hate how those rich Liberal Hollywood actors go on TV to promote their agendas?,Appeal to Emotions
Appeal to Tradition,Claiming something is true because it's (apparently) always been that way.,Marriage is the union between man and women. Therefore gay marriage is wrong.,Appeal to the Mind
Appeal to Wishful Thinking,Suggesting a claim is true or false just because you strongly hope it is.,"""The President wouldn't lie. He's our leader and a good American""",Appeal to Emotions
Begging the Question,Making a claim while leaving out one or more major contributing factors that may affect the conclusion.,"""If we label food with warning labels, it will encourage people to eat more healthily""",Manipulating Content
Biased Generalizing,Generalizing from an unrepresentative sample to increase the strength of your argument,Our website poll found that 90% of internet users oppose online piracy laws.,Manipulating Content
Burden of Proof,I don't need to prove my claim - you must prove it is false.,I maintain long-term solar cycles are the cause of global warming. Show me I'm wrong,On the Attack
Circular Logic,A conclusion is derived from premises based on the conclusion.,Stripping privacy rights only matters to those with something to hide. You must have something to hide if you oppose privacy protection.,Garbled Cause & Effect
Circumstance Ad Hominem,Stating a claim isn't credible only because of the advocate's interests in their claim.,"A study into the health risks of mobile phones involved mobile phone companies. Therefore, the study cannot be trusted.",On the Attack
Composition,Assuming that characteristics or beliefs of some of a group applies to the entire group,Recent terrorist attacks have been carried out by radical Islamic groups. Therefore all terrorists are Muslims.,Faulty Deduction
